Epoch: 0 / 25 | halfcheetah-medium-expert-v2 | random_name
[ utils/training ] Making optimizer at epoch 0
[ utils/training ] epoch 0 [    0 / 3903 ]  train reconstruction loss 3.49945 |  train commit loss 0.04359 | | lr 2.000e-04 | lr_mult: 0.0002 | t: 0.21
[ utils/training ] epoch 0 [ 3500 / 3903 ]  train reconstruction loss 0.15758 |  train commit loss 0.08824 | | lr 2.000e-04 | lr_mult: 0.8281 | t: 14.77
[ utils/training ] epoch 0 [ 3600 / 3903 ]  train reconstruction loss 0.16529 |  train commit loss 0.08912 | | lr 2.000e-04 | lr_mult: 0.8518 | t: 14.83
[ utils/training ] epoch 0 [ 3700 / 3903 ]  train reconstruction loss 0.15408 |  train commit loss 0.08676 | | lr 2.000e-04 | lr_mult: 0.8755 | t: 14.81
[ utils/training ] epoch 0 [ 3800 / 3903 ]  train reconstruction loss 0.15955 |  train commit loss 0.08414 | | lr 2.000e-04 | lr_mult: 0.8991 | t: 14.81
[ utils/training ] epoch 0 [ 3900 / 3903 ]  train reconstruction loss 0.15906 |  train commit loss 0.09128 | | lr 2.000e-04 | lr_mult: 0.9228 | t: 14.88
Saving model to /home/v-linjiexu/logs/halfcheetah-medium-expert-v2/random_name/state_0.pt
Epoch: 1 / 25 | halfcheetah-medium-expert-v2 | random_name
[ utils/training ] epoch 1 [    0 / 3903 ]  train reconstruction loss 0.15370 |  train commit loss 0.08180 | | lr 2.000e-04 | lr_mult: 0.9233 | t: 0.17
[ utils/training ] epoch 1 [  100 / 3903 ]  train reconstruction loss 0.15293 |  train commit loss 0.08205 | | lr 2.000e-04 | lr_mult: 0.9470 | t: 14.88
[ utils/training ] epoch 1 [  200 / 3903 ]  train reconstruction loss 0.15445 |  train commit loss 0.08052 | | lr 2.000e-04 | lr_mult: 0.9706 | t: 14.81
[ utils/training ] epoch 1 [  300 / 3903 ]  train reconstruction loss 0.16040 |  train commit loss 0.08615 | | lr 2.000e-04 | lr_mult: 0.9943 | t: 14.82
[ utils/training ] epoch 1 [  400 / 3903 ]  train reconstruction loss 0.15102 |  train commit loss 0.08424 | | lr 2.000e-04 | lr_mult: 1.0000 | t: 14.81
[ utils/training ] epoch 1 [  500 / 3903 ]  train reconstruction loss 0.15086 |  train commit loss 0.08182 | | lr 2.000e-04 | lr_mult: 1.0000 | t: 14.82
[ utils/training ] epoch 1 [  600 / 3903 ]  train reconstruction loss 0.15714 |  train commit loss 0.08376 | | lr 2.000e-04 | lr_mult: 1.0000 | t: 14.77
[ utils/training ] epoch 1 [  700 / 3903 ]  train reconstruction loss 0.15358 |  train commit loss 0.07877 | | lr 2.000e-04 | lr_mult: 0.9999 | t: 14.82
[ utils/training ] epoch 1 [  800 / 3903 ]  train reconstruction loss 0.15308 |  train commit loss 0.08108 | | lr 2.000e-04 | lr_mult: 0.9999 | t: 14.79
[ utils/training ] epoch 1 [  900 / 3903 ]  train reconstruction loss 0.14830 |  train commit loss 0.07935 | | lr 2.000e-04 | lr_mult: 0.9999 | t: 14.82
[ utils/training ] epoch 1 [ 1000 / 3903 ]  train reconstruction loss 0.14650 |  train commit loss 0.08033 | | lr 2.000e-04 | lr_mult: 0.9998 | t: 14.80
[ utils/training ] epoch 1 [ 1100 / 3903 ]  train reconstruction loss 0.14740 |  train commit loss 0.07919 | | lr 2.000e-04 | lr_mult: 0.9998 | t: 14.82
[ utils/training ] epoch 1 [ 1200 / 3903 ]  train reconstruction loss 0.15589 |  train commit loss 0.07654 | | lr 2.000e-04 | lr_mult: 0.9997 | t: 14.83
[ utils/training ] epoch 1 [ 1300 / 3903 ]  train reconstruction loss 0.14217 |  train commit loss 0.07423 | | lr 2.000e-04 | lr_mult: 0.9996 | t: 14.82
[ utils/training ] epoch 1 [ 1400 / 3903 ]  train reconstruction loss 0.14849 |  train commit loss 0.07822 | | lr 2.000e-04 | lr_mult: 0.9996 | t: 14.81
[ utils/training ] epoch 1 [ 1500 / 3903 ]  train reconstruction loss 0.15521 |  train commit loss 0.07826 | | lr 2.000e-04 | lr_mult: 0.9995 | t: 14.75
[ utils/training ] epoch 1 [ 1600 / 3903 ]  train reconstruction loss 0.14547 |  train commit loss 0.07638 | | lr 2.000e-04 | lr_mult: 0.9994 | t: 14.81
[ utils/training ] epoch 1 [ 1700 / 3903 ]  train reconstruction loss 0.14423 |  train commit loss 0.07388 | | lr 2.000e-04 | lr_mult: 0.9993 | t: 14.83
[ utils/training ] epoch 1 [ 1800 / 3903 ]  train reconstruction loss 0.14651 |  train commit loss 0.07646 | | lr 2.000e-04 | lr_mult: 0.9992 | t: 14.88
[ utils/training ] epoch 1 [ 1900 / 3903 ]  train reconstruction loss 0.14300 |  train commit loss 0.07575 | | lr 2.000e-04 | lr_mult: 0.9991 | t: 14.78
[ utils/training ] epoch 1 [ 2000 / 3903 ]  train reconstruction loss 0.14609 |  train commit loss 0.07358 | | lr 2.000e-04 | lr_mult: 0.9989 | t: 14.80
[ utils/training ] epoch 1 [ 2100 / 3903 ]  train reconstruction loss 0.15209 |  train commit loss 0.07494 | | lr 2.000e-04 | lr_mult: 0.9988 | t: 14.80
[ utils/training ] epoch 1 [ 2200 / 3903 ]  train reconstruction loss 0.14646 |  train commit loss 0.07518 | | lr 2.000e-04 | lr_mult: 0.9987 | t: 14.83
[ utils/training ] epoch 1 [ 2300 / 3903 ]  train reconstruction loss 0.14584 |  train commit loss 0.07654 | | lr 2.000e-04 | lr_mult: 0.9985 | t: 14.80
[ utils/training ] epoch 1 [ 2400 / 3903 ]  train reconstruction loss 0.13738 |  train commit loss 0.07201 | | lr 2.000e-04 | lr_mult: 0.9984 | t: 14.83
[ utils/training ] epoch 1 [ 2500 / 3903 ]  train reconstruction loss 0.14814 |  train commit loss 0.07461 | | lr 2.000e-04 | lr_mult: 0.9982 | t: 14.78
[ utils/training ] epoch 1 [ 2600 / 3903 ]  train reconstruction loss 0.13591 |  train commit loss 0.07335 | | lr 2.000e-04 | lr_mult: 0.9980 | t: 14.83
[ utils/training ] epoch 1 [ 2700 / 3903 ]  train reconstruction loss 0.14761 |  train commit loss 0.07570 | | lr 2.000e-04 | lr_mult: 0.9978 | t: 14.80
[ utils/training ] epoch 1 [ 2800 / 3903 ]  train reconstruction loss 0.13988 |  train commit loss 0.07226 | | lr 2.000e-04 | lr_mult: 0.9977 | t: 14.83
[ utils/training ] epoch 1 [ 2900 / 3903 ]  train reconstruction loss 0.14452 |  train commit loss 0.07476 | | lr 2.000e-04 | lr_mult: 0.9975 | t: 14.81
[ utils/training ] epoch 1 [ 3000 / 3903 ]  train reconstruction loss 0.13755 |  train commit loss 0.06963 | | lr 2.000e-04 | lr_mult: 0.9973 | t: 14.79
[ utils/training ] epoch 1 [ 3100 / 3903 ]  train reconstruction loss 0.14256 |  train commit loss 0.07165 | | lr 2.000e-04 | lr_mult: 0.9971 | t: 14.80
[ utils/training ] epoch 1 [ 3200 / 3903 ]  train reconstruction loss 0.13880 |  train commit loss 0.07086 | | lr 2.000e-04 | lr_mult: 0.9968 | t: 14.75
[ utils/training ] epoch 1 [ 3300 / 3903 ]  train reconstruction loss 0.14107 |  train commit loss 0.07237 | | lr 2.000e-04 | lr_mult: 0.9966 | t: 14.82
[ utils/training ] epoch 1 [ 3400 / 3903 ]  train reconstruction loss 0.14264 |  train commit loss 0.07266 | | lr 2.000e-04 | lr_mult: 0.9964 | t: 14.81
[ utils/training ] epoch 1 [ 3500 / 3903 ]  train reconstruction loss 0.13698 |  train commit loss 0.06979 | | lr 2.000e-04 | lr_mult: 0.9961 | t: 14.77
[ utils/training ] epoch 1 [ 3600 / 3903 ]  train reconstruction loss 0.14092 |  train commit loss 0.07379 | | lr 2.000e-04 | lr_mult: 0.9959 | t: 14.81
[ utils/training ] epoch 1 [ 3700 / 3903 ]  train reconstruction loss 0.14253 |  train commit loss 0.07057 | | lr 2.000e-04 | lr_mult: 0.9956 | t: 14.85
[ utils/training ] epoch 1 [ 3800 / 3903 ]  train reconstruction loss 0.13984 |  train commit loss 0.06999 | | lr 2.000e-04 | lr_mult: 0.9954 | t: 14.82
[ utils/training ] epoch 1 [ 3900 / 3903 ]  train reconstruction loss 0.13367 |  train commit loss 0.06737 | | lr 2.000e-04 | lr_mult: 0.9951 | t: 15.48
Saving model to /home/v-linjiexu/logs/halfcheetah-medium-expert-v2/random_name/state_0.pt
Epoch: 2 / 25 | halfcheetah-medium-expert-v2 | random_name
[ utils/training ] epoch 2 [    0 / 3903 ]  train reconstruction loss 0.13270 |  train commit loss 0.06823 | | lr 2.000e-04 | lr_mult: 0.9951 | t: 0.16
[ utils/training ] epoch 2 [  100 / 3903 ]  train reconstruction loss 0.13079 |  train commit loss 0.06947 | | lr 2.000e-04 | lr_mult: 0.9948 | t: 14.80
[ utils/training ] epoch 2 [  200 / 3903 ]  train reconstruction loss 0.13890 |  train commit loss 0.07030 | | lr 2.000e-04 | lr_mult: 0.9946 | t: 14.84
[ utils/training ] epoch 2 [  300 / 3903 ]  train reconstruction loss 0.14362 |  train commit loss 0.06861 | | lr 2.000e-04 | lr_mult: 0.9943 | t: 14.84
[ utils/training ] epoch 2 [  400 / 3903 ]  train reconstruction loss 0.14184 |  train commit loss 0.07137 | | lr 2.000e-04 | lr_mult: 0.9940 | t: 14.81
[ utils/training ] epoch 2 [  500 / 3903 ]  train reconstruction loss 0.13845 |  train commit loss 0.07157 | | lr 2.000e-04 | lr_mult: 0.9937 | t: 14.82
[ utils/training ] epoch 2 [  600 / 3903 ]  train reconstruction loss 0.13360 |  train commit loss 0.06813 | | lr 2.000e-04 | lr_mult: 0.9933 | t: 14.82
[ utils/training ] epoch 2 [  700 / 3903 ]  train reconstruction loss 0.13667 |  train commit loss 0.06906 | | lr 2.000e-04 | lr_mult: 0.9930 | t: 14.78
[ utils/training ] epoch 2 [  800 / 3903 ]  train reconstruction loss 0.13876 |  train commit loss 0.06815 | | lr 2.000e-04 | lr_mult: 0.9927 | t: 14.77
[ utils/training ] epoch 2 [  900 / 3903 ]  train reconstruction loss 0.13289 |  train commit loss 0.06849 | | lr 2.000e-04 | lr_mult: 0.9924 | t: 14.76
[ utils/training ] epoch 2 [ 1000 / 3903 ]  train reconstruction loss 0.13858 |  train commit loss 0.06849 | | lr 2.000e-04 | lr_mult: 0.9920 | t: 14.78
[ utils/training ] epoch 2 [ 1100 / 3903 ]  train reconstruction loss 0.13068 |  train commit loss 0.06666 | | lr 2.000e-04 | lr_mult: 0.9917 | t: 14.80
[ utils/training ] epoch 2 [ 1200 / 3903 ]  train reconstruction loss 0.13577 |  train commit loss 0.06776 | | lr 2.000e-04 | lr_mult: 0.9913 | t: 14.76
[ utils/training ] epoch 2 [ 1300 / 3903 ]  train reconstruction loss 0.13381 |  train commit loss 0.06748 | | lr 2.000e-04 | lr_mult: 0.9909 | t: 14.77
[ utils/training ] epoch 2 [ 1400 / 3903 ]  train reconstruction loss 0.12713 |  train commit loss 0.06360 | | lr 2.000e-04 | lr_mult: 0.9906 | t: 14.78
[ utils/training ] epoch 2 [ 1500 / 3903 ]  train reconstruction loss 0.13632 |  train commit loss 0.06983 | | lr 2.000e-04 | lr_mult: 0.9902 | t: 14.82
[ utils/training ] epoch 2 [ 1600 / 3903 ]  train reconstruction loss 0.13228 |  train commit loss 0.06652 | | lr 2.000e-04 | lr_mult: 0.9898 | t: 14.78
[ utils/training ] epoch 2 [ 1700 / 3903 ]  train reconstruction loss 0.12849 |  train commit loss 0.06582 | | lr 2.000e-04 | lr_mult: 0.9894 | t: 14.73
[ utils/training ] epoch 2 [ 1800 / 3903 ]  train reconstruction loss 0.13873 |  train commit loss 0.06966 | | lr 2.000e-04 | lr_mult: 0.9890 | t: 14.82
[ utils/training ] epoch 2 [ 1900 / 3903 ]  train reconstruction loss 0.12787 |  train commit loss 0.06409 | | lr 2.000e-04 | lr_mult: 0.9886 | t: 14.90
[ utils/training ] epoch 2 [ 2000 / 3903 ]  train reconstruction loss 0.13313 |  train commit loss 0.06769 | | lr 2.000e-04 | lr_mult: 0.9881 | t: 14.90
[ utils/training ] epoch 2 [ 2100 / 3903 ]  train reconstruction loss 0.12596 |  train commit loss 0.06406 | | lr 2.000e-04 | lr_mult: 0.9877 | t: 14.91
[ utils/training ] epoch 2 [ 2200 / 3903 ]  train reconstruction loss 0.12799 |  train commit loss 0.06552 | | lr 2.000e-04 | lr_mult: 0.9873 | t: 14.96
[ utils/training ] epoch 2 [ 2300 / 3903 ]  train reconstruction loss 0.12704 |  train commit loss 0.06493 | | lr 2.000e-04 | lr_mult: 0.9868 | t: 14.88
[ utils/training ] epoch 2 [ 2400 / 3903 ]  train reconstruction loss 0.12331 |  train commit loss 0.06297 | | lr 2.000e-04 | lr_mult: 0.9864 | t: 14.92
[ utils/training ] epoch 2 [ 2500 / 3903 ]  train reconstruction loss 0.13208 |  train commit loss 0.06646 | | lr 2.000e-04 | lr_mult: 0.9859 | t: 14.86
[ utils/training ] epoch 2 [ 2600 / 3903 ]  train reconstruction loss 0.12616 |  train commit loss 0.06245 | | lr 2.000e-04 | lr_mult: 0.9855 | t: 14.85
[ utils/training ] epoch 2 [ 2700 / 3903 ]  train reconstruction loss 0.12912 |  train commit loss 0.06431 | | lr 2.000e-04 | lr_mult: 0.9850 | t: 14.89
[ utils/training ] epoch 2 [ 2800 / 3903 ]  train reconstruction loss 0.13432 |  train commit loss 0.06660 | | lr 2.000e-04 | lr_mult: 0.9845 | t: 14.84
[ utils/training ] epoch 2 [ 2900 / 3903 ]  train reconstruction loss 0.13023 |  train commit loss 0.06479 | | lr 2.000e-04 | lr_mult: 0.9840 | t: 14.76
[ utils/training ] epoch 2 [ 3000 / 3903 ]  train reconstruction loss 0.13231 |  train commit loss 0.06471 | | lr 2.000e-04 | lr_mult: 0.9835 | t: 14.78
[ utils/training ] epoch 2 [ 3100 / 3903 ]  train reconstruction loss 0.13086 |  train commit loss 0.06382 | | lr 2.000e-04 | lr_mult: 0.9830 | t: 14.80
[ utils/training ] epoch 2 [ 3200 / 3903 ]  train reconstruction loss 0.12825 |  train commit loss 0.06381 | | lr 2.000e-04 | lr_mult: 0.9825 | t: 14.76
[ utils/training ] epoch 2 [ 3300 / 3903 ]  train reconstruction loss 0.13020 |  train commit loss 0.06586 | | lr 2.000e-04 | lr_mult: 0.9820 | t: 14.78
[ utils/training ] epoch 2 [ 3400 / 3903 ]  train reconstruction loss 0.13068 |  train commit loss 0.06329 | | lr 2.000e-04 | lr_mult: 0.9815 | t: 14.77
[ utils/training ] epoch 2 [ 3500 / 3903 ]  train reconstruction loss 0.12574 |  train commit loss 0.06437 | | lr 2.000e-04 | lr_mult: 0.9810 | t: 14.74
[ utils/training ] epoch 2 [ 3600 / 3903 ]  train reconstruction loss 0.12712 |  train commit loss 0.06345 | | lr 2.000e-04 | lr_mult: 0.9804 | t: 14.75
[ utils/training ] epoch 2 [ 3700 / 3903 ]  train reconstruction loss 0.12854 |  train commit loss 0.06289 | | lr 2.000e-04 | lr_mult: 0.9799 | t: 14.80
[ utils/training ] epoch 2 [ 3800 / 3903 ]  train reconstruction loss 0.12995 |  train commit loss 0.06398 | | lr 2.000e-04 | lr_mult: 0.9793 | t: 14.77
[ utils/training ] epoch 2 [ 3900 / 3903 ]  train reconstruction loss 0.12849 |  train commit loss 0.06209 | | lr 2.000e-04 | lr_mult: 0.9788 | t: 14.82
Saving model to /home/v-linjiexu/logs/halfcheetah-medium-expert-v2/random_name/state_0.pt
Epoch: 3 / 25 | halfcheetah-medium-expert-v2 | random_name
[ utils/training ] epoch 3 [    0 / 3903 ]  train reconstruction loss 0.13307 |  train commit loss 0.06513 | | lr 2.000e-04 | lr_mult: 0.9788 | t: 0.17
[ utils/training ] epoch 3 [  100 / 3903 ]  train reconstruction loss 0.12675 |  train commit loss 0.06454 | | lr 2.000e-04 | lr_mult: 0.9782 | t: 14.81
[ utils/training ] epoch 3 [  200 / 3903 ]  train reconstruction loss 0.12427 |  train commit loss 0.06228 | | lr 2.000e-04 | lr_mult: 0.9776 | t: 14.78
[ utils/training ] epoch 3 [  300 / 3903 ]  train reconstruction loss 0.12843 |  train commit loss 0.06338 | | lr 2.000e-04 | lr_mult: 0.9770 | t: 14.78
[ utils/training ] epoch 3 [  400 / 3903 ]  train reconstruction loss 0.12916 |  train commit loss 0.06259 | | lr 2.000e-04 | lr_mult: 0.9764 | t: 14.79
[ utils/training ] epoch 3 [  500 / 3903 ]  train reconstruction loss 0.13036 |  train commit loss 0.06526 | | lr 2.000e-04 | lr_mult: 0.9758 | t: 14.83
[ utils/training ] epoch 3 [  600 / 3903 ]  train reconstruction loss 0.12730 |  train commit loss 0.06394 | | lr 2.000e-04 | lr_mult: 0.9752 | t: 14.79
[ utils/training ] epoch 3 [  700 / 3903 ]  train reconstruction loss 0.12005 |  train commit loss 0.06013 | | lr 2.000e-04 | lr_mult: 0.9746 | t: 14.78
[ utils/training ] epoch 3 [  800 / 3903 ]  train reconstruction loss 0.12756 |  train commit loss 0.06221 | | lr 2.000e-04 | lr_mult: 0.9740 | t: 14.82
[ utils/training ] epoch 3 [  900 / 3903 ]  train reconstruction loss 0.12584 |  train commit loss 0.06003 | | lr 2.000e-04 | lr_mult: 0.9734 | t: 14.79
[ utils/training ] epoch 3 [ 1000 / 3903 ]  train reconstruction loss 0.12800 |  train commit loss 0.06321 | | lr 2.000e-04 | lr_mult: 0.9727 | t: 14.76
[ utils/training ] epoch 3 [ 1100 / 3903 ]  train reconstruction loss 0.12615 |  train commit loss 0.06316 | | lr 2.000e-04 | lr_mult: 0.9721 | t: 14.83
[ utils/training ] epoch 3 [ 1200 / 3903 ]  train reconstruction loss 0.13047 |  train commit loss 0.06694 | | lr 2.000e-04 | lr_mult: 0.9715 | t: 14.78
[ utils/training ] epoch 3 [ 1300 / 3903 ]  train reconstruction loss 0.12186 |  train commit loss 0.05790 | | lr 2.000e-04 | lr_mult: 0.9708 | t: 14.83
[ utils/training ] epoch 3 [ 1400 / 3903 ]  train reconstruction loss 0.12796 |  train commit loss 0.06372 | | lr 2.000e-04 | lr_mult: 0.9701 | t: 14.81
[ utils/training ] epoch 3 [ 1500 / 3903 ]  train reconstruction loss 0.13322 |  train commit loss 0.06475 | | lr 2.000e-04 | lr_mult: 0.9695 | t: 14.76
[ utils/training ] epoch 3 [ 1600 / 3903 ]  train reconstruction loss 0.12516 |  train commit loss 0.06186 | | lr 2.000e-04 | lr_mult: 0.9688 | t: 14.80
[ utils/training ] epoch 3 [ 1700 / 3903 ]  train reconstruction loss 0.11957 |  train commit loss 0.06005 | | lr 2.000e-04 | lr_mult: 0.9681 | t: 14.82
[ utils/training ] epoch 3 [ 1800 / 3903 ]  train reconstruction loss 0.12818 |  train commit loss 0.06270 | | lr 2.000e-04 | lr_mult: 0.9674 | t: 14.85
[ utils/training ] epoch 3 [ 1900 / 3903 ]  train reconstruction loss 0.12624 |  train commit loss 0.06252 | | lr 2.000e-04 | lr_mult: 0.9667 | t: 14.78
[ utils/training ] epoch 3 [ 2000 / 3903 ]  train reconstruction loss 0.12422 |  train commit loss 0.06139 | | lr 2.000e-04 | lr_mult: 0.9660 | t: 14.79
[ utils/training ] epoch 3 [ 2100 / 3903 ]  train reconstruction loss 0.12311 |  train commit loss 0.06181 | | lr 2.000e-04 | lr_mult: 0.9653 | t: 15.22
[ utils/training ] epoch 3 [ 2200 / 3903 ]  train reconstruction loss 0.12696 |  train commit loss 0.06411 | | lr 2.000e-04 | lr_mult: 0.9646 | t: 15.70
[ utils/training ] epoch 3 [ 2300 / 3903 ]  train reconstruction loss 0.12583 |  train commit loss 0.06301 | | lr 2.000e-04 | lr_mult: 0.9639 | t: 15.57
[ utils/training ] epoch 3 [ 2400 / 3903 ]  train reconstruction loss 0.12541 |  train commit loss 0.06037 | | lr 2.000e-04 | lr_mult: 0.9631 | t: 15.64
[ utils/training ] epoch 3 [ 2500 / 3903 ]  train reconstruction loss 0.12995 |  train commit loss 0.06327 | | lr 2.000e-04 | lr_mult: 0.9624 | t: 15.63
[ utils/training ] epoch 3 [ 2600 / 3903 ]  train reconstruction loss 0.12398 |  train commit loss 0.06143 | | lr 2.000e-04 | lr_mult: 0.9616 | t: 15.82
[ utils/training ] epoch 3 [ 2700 / 3903 ]  train reconstruction loss 0.11797 |  train commit loss 0.05724 | | lr 2.000e-04 | lr_mult: 0.9609 | t: 15.68
[ utils/training ] epoch 3 [ 2800 / 3903 ]  train reconstruction loss 0.12519 |  train commit loss 0.06124 | | lr 2.000e-04 | lr_mult: 0.9601 | t: 15.75
[ utils/training ] epoch 3 [ 2900 / 3903 ]  train reconstruction loss 0.12759 |  train commit loss 0.06222 | | lr 2.000e-04 | lr_mult: 0.9594 | t: 15.67
[ utils/training ] epoch 3 [ 3000 / 3903 ]  train reconstruction loss 0.12358 |  train commit loss 0.06238 | | lr 2.000e-04 | lr_mult: 0.9586 | t: 14.94
[ utils/training ] epoch 3 [ 3100 / 3903 ]  train reconstruction loss 0.11987 |  train commit loss 0.05758 | | lr 2.000e-04 | lr_mult: 0.9578 | t: 14.85
[ utils/training ] epoch 3 [ 3200 / 3903 ]  train reconstruction loss 0.11989 |  train commit loss 0.06042 | | lr 2.000e-04 | lr_mult: 0.9570 | t: 14.80
[ utils/training ] epoch 3 [ 3300 / 3903 ]  train reconstruction loss 0.11975 |  train commit loss 0.05762 | | lr 2.000e-04 | lr_mult: 0.9562 | t: 14.84
[ utils/training ] epoch 3 [ 3400 / 3903 ]  train reconstruction loss 0.12139 |  train commit loss 0.05908 | | lr 2.000e-04 | lr_mult: 0.9554 | t: 14.80
